name	SMSD-4.2LAN	SMSD-8.0LAN	connection_type	searched_by_specs
42STH33-1334	1	1	s	0
42STH33-1334	2	2	s	0
42STH38-1206	3	3	s	0
42STH38-1684	4	4	s	0
42STH38-1684	5	5	s	0
42STH47-1206	6	6	s	0
42STH47-1684	7	7	s	0
42STH47-1684	8	8	s	0
42STH60-1206	9	9	s	0
42STH60-1206	10	10	s	0
57ST41-1564	11	11	s	0
57ST76-1006	12	12	s	0
57ST76-1506	13	13	s	0
57STH41-1006	14	14	s	0
57STH41-1006	15	15	s	0
57STH41-2804	16	16	s	0
57STH41-2804	17	17	s	0
57STH51-1006	18	18	s	0
57STH51-2804	19	19	s	0
57STH51-2804	20	20	s	0
57STH56-1006	21	21	s	0
57STH56-2006	22	22	s	0
57STH56-2804	23	23	s	0
57STH76-1006	24	24	s	0
57STH76-2804	25	25	s	0
57STH76-2804	26	26	p	0
60STH65-2008	27	27	s	0
60STH65-2008	28	28	p	0
60STH86-2008	29	29	s	0
60STH86-2008	30	30	p	0
86STH65-2808	31	31	s	0
86STH65-2808	32	32	p	0
86STH80-4208	33	33	p	0
86STH80-4208	34	34	s	0
86STH118-4208	35	35	p	0
86STH118-4208	36	36	s	0
86STH156-4208	38	38	s	0
86STH118-6004		39	s	1
86STH156-6204		40	s	1
110STH99-5504		41	s	1
110STH150-6504		42	s	1
110STH201-8004		43	s	1
	37	37	s	0
	39	44	s	0
	40	45	s	0
	41	46	s	0
	42	47	s	0
	43	48	s	0
	44	49	s	0
	45	50	s	0
		51	s	0
		52	s	0
		53	s	0
		54	s	0
